Position,Name,CPU,Clock Speed,Score (cb),extra info
130,SlowMixit,Intel Core I7 8086K,5.457ghz,1814,
131,overthebars39,AMD Ryzen 7 2700X,4.1ghz,1813,
132,MageTank,Intel Core I7 8700K,5.399ghz,1811,
133,auster93,Intel Core I7 5960X ,4.581ghz,1809,
134,AstroSky,AMD Ryzen 7 1700,4.022ghz,1805,
135,mer.at,AMD Ryzen 7 1700,3.993ghz,1804,
136,mikkelreven,AMD Ryzen 7 1700X,4.047ghz,1804,
137,Trump2020,Intel Core I9 9900K,4.695ghz,1800,
138,penttila,Intel Core I7 7820X,4.5ghz,1798,
139,Dakkra,AMD Ryzen 7 2700X,4.225ghz,1792,
140,Klenex,AMD Ryzen 7 1700,4.015ghz,1791,
141,MeesterQ,Intel Core I7 7820X,4.6ghz,1791,
142,Belezeebub,Intel Core I7 5960X ,4.679ghz,1788,
143,lthanul,Intel Core I7 5960X ,4.6ghz,1783,
144,awettree,Intel Core I7 5960X ,4.6ghz,1775,
145,Analog,Intel Core I7 5960X ,4.5ghz,1770,
146,Ethan2163,Intel Core I7 8700K,5.301ghz,1770,
147,Shzzit,Intel Core I7 8700K,5.3ghz,1766,
148,AlexCo,AMD Ryzen 7 1700,3.992ghz,1764,
149,skullbringer,AMD Ryzen 7 1800X,4.108ghz,1762,
150,Dxer,AMD Ryzen 7 2700,3.99ghz,1760,
151,done12many2,Intel Core I7 8700K,5.1ghz,1756,
152,Dickielam,AMD Ryzen 7 1800X,3.999ghz,1756,
153,stealth80,AMD Ryzen 7 1700,4.015ghz,1755,
154,Pannalicour,AMD Ryzen 7 1700,3.941ghz,1754,
155,ViBEE,Intel Core I7 8700K,5.2ghz,1754,
156,Florb,Intel Core I7 5960X ,4.6ghz,1750,
157,This kid builds pc,AMD Ryzen 7 1700,3.993ghz,1750,
158,DarkSmith2,Intel Core I7 8700K,5.3ghz,1750,
159,Carde,AMD Ryzen 7 1800X,4.025ghz,1747,
160,Mr.Meerkat,AMD Ryzen 7 1700,3.898ghz,1736,
161,Gaidax,Intel Core I7 8086K,5.201ghz,1736,
162,Serin,Intel Core I7 5960X ,4.5ghz,1733,
